Starting Training Loop...
1000
[0/1000][0/3]	Loss_D: 0.5774	Loss_G: 7.3137	D(x): 0.9844	D(G(z)): 0.3571 / 0.0019
[1/1000][0/3]	Loss_D: 0.2428	Loss_G: 5.2765	D(x): 0.9548	D(G(z)): 0.1538 / 0.0108
[2/1000][0/3]	Loss_D: 0.1795	Loss_G: 5.4454	D(x): 0.9504	D(G(z)): 0.1086 / 0.0094
[3/1000][0/3]	Loss_D: 0.2019	Loss_G: 5.7405	D(x): 0.9598	D(G(z)): 0.1336 / 0.0073
[4/1000][0/3]	Loss_D: 0.1979	Loss_G: 6.1451	D(x): 0.9575	D(G(z)): 0.1323 / 0.0035
[5/1000][0/3]	Loss_D: 0.1091	Loss_G: 5.8480	D(x): 0.9537	D(G(z)): 0.0561 / 0.0064
[6/1000][0/3]	Loss_D: 0.2267	Loss_G: 7.8595	D(x): 0.9816	D(G(z)): 0.1666 / 0.0015
[7/1000][0/3]	Loss_D: 0.1416	Loss_G: 6.2109	D(x): 0.9736	D(G(z)): 0.0950 / 0.0058
[8/1000][0/3]	Loss_D: 0.1223	Loss_G: 6.2562	D(x): 0.9705	D(G(z)): 0.0846 / 0.0040
[9/1000][0/3]	Loss_D: 0.0676	Loss_G: 5.7565	D(x): 0.9785	D(G(z)): 0.0437 / 0.0048
[10/1000][0/3]	Loss_D: 0.0871	Loss_G: 5.7065	D(x): 0.9625	D(G(z)): 0.0452 / 0.0072
[11/1000][0/3]	Loss_D: 0.0795	Loss_G: 6.5414	D(x): 0.9810	D(G(z)): 0.0556 / 0.0036
[12/1000][0/3]	Loss_D: 0.0621	Loss_G: 6.1913	D(x): 0.9777	D(G(z)): 0.0378 / 0.0042
[13/1000][0/3]	Loss_D: 0.0658	Loss_G: 6.3304	D(x): 0.9783	D(G(z)): 0.0411 / 0.0032
[14/1000][0/3]	Loss_D: 0.0505	Loss_G: 6.3119	D(x): 0.9757	D(G(z)): 0.0249 / 0.0040
[15/1000][0/3]	Loss_D: 0.0584	Loss_G: 6.3132	D(x): 0.9739	D(G(z)): 0.0300 / 0.0036
[16/1000][0/3]	Loss_D: 0.0585	Loss_G: 6.3589	D(x): 0.9818	D(G(z)): 0.0381 / 0.0032
[17/1000][0/3]	Loss_D: 0.0697	Loss_G: 7.2317	D(x): 0.9891	D(G(z)): 0.0546 / 0.0014
[18/1000][0/3]	Loss_D: 0.0748	Loss_G: 7.2672	D(x): 0.9940	D(G(z)): 0.0641 / 0.0014
[19/1000][0/3]	Loss_D: 0.1314	Loss_G: 8.6358	D(x): 0.9945	D(G(z)): 0.0979 / 0.0007
[20/1000][0/3]	Loss_D: 0.0439	Loss_G: 6.5894	D(x): 0.9907	D(G(z)): 0.0322 / 0.0029
[21/1000][0/3]	Loss_D: 0.0432	Loss_G: 6.3040	D(x): 0.9761	D(G(z)): 0.0181 / 0.0049
[22/1000][0/3]	Loss_D: 0.0489	Loss_G: 6.3252	D(x): 0.9735	D(G(z)): 0.0207 / 0.0037
[23/1000][0/3]	Loss_D: 0.0381	Loss_G: 6.7281	D(x): 0.9897	D(G(z)): 0.0268 / 0.0026
[24/1000][0/3]	Loss_D: 0.0538	Loss_G: 6.6997	D(x): 0.9902	D(G(z)): 0.0407 / 0.0021
[25/1000][0/3]	Loss_D: 0.0364	Loss_G: 5.8147	D(x): 0.9879	D(G(z)): 0.0236 / 0.0047
[26/1000][0/3]	Loss_D: 0.0325	Loss_G: 6.1024	D(x): 0.9869	D(G(z)): 0.0188 / 0.0037
[27/1000][0/3]	Loss_D: 0.0301	Loss_G: 6.1246	D(x): 0.9900	D(G(z)): 0.0196 / 0.0040
[28/1000][0/3]	Loss_D: 0.0318	Loss_G: 6.0320	D(x): 0.9814	D(G(z)): 0.0127 / 0.0044
[29/1000][0/3]	Loss_D: 0.0338	Loss_G: 6.8053	D(x): 0.9919	D(G(z)): 0.0250 / 0.0022
[30/1000][0/3]	Loss_D: 0.0329	Loss_G: 6.2299	D(x): 0.9896	D(G(z)): 0.0217 / 0.0034
[31/1000][0/3]	Loss_D: 0.0224	Loss_G: 5.9825	D(x): 0.9881	D(G(z)): 0.0103 / 0.0041
[32/1000][0/3]	Loss_D: 0.0288	Loss_G: 6.5166	D(x): 0.9915	D(G(z)): 0.0198 / 0.0027
[33/1000][0/3]	Loss_D: 0.0302	Loss_G: 6.4687	D(x): 0.9935	D(G(z)): 0.0231 / 0.0027
[34/1000][0/3]	Loss_D: 0.0322	Loss_G: 6.3048	D(x): 0.9954	D(G(z)): 0.0264 / 0.0031
[35/1000][0/3]	Loss_D: 0.0273	Loss_G: 5.9525	D(x): 0.9908	D(G(z)): 0.0177 / 0.0041
[36/1000][0/3]	Loss_D: 0.0231	Loss_G: 5.8510	D(x): 0.9901	D(G(z)): 0.0130 / 0.0043
[37/1000][0/3]	Loss_D: 0.0283	Loss_G: 6.2500	D(x): 0.9901	D(G(z)): 0.0180 / 0.0033
[38/1000][0/3]	Loss_D: 0.0187	Loss_G: 6.1575	D(x): 0.9899	D(G(z)): 0.0085 / 0.0034
[39/1000][0/3]	Loss_D: 0.0229	Loss_G: 6.1677	D(x): 0.9895	D(G(z)): 0.0121 / 0.0034
[40/1000][0/3]	Loss_D: 0.0305	Loss_G: 6.6173	D(x): 0.9930	D(G(z)): 0.0225 / 0.0024
[41/1000][0/3]	Loss_D: 0.0215	Loss_G: 6.1512	D(x): 0.9899	D(G(z)): 0.0111 / 0.0037
[42/1000][0/3]	Loss_D: 0.0240	Loss_G: 6.2919	D(x): 0.9918	D(G(z)): 0.0155 / 0.0030
[43/1000][0/3]	Loss_D: 0.0232	Loss_G: 6.2464	D(x): 0.9916	D(G(z)): 0.0144 / 0.0033
[44/1000][0/3]	Loss_D: 0.0215	Loss_G: 5.9430	D(x): 0.9880	D(G(z)): 0.0093 / 0.0047
[45/1000][0/3]	Loss_D: 0.0207	Loss_G: 6.3353	D(x): 0.9913	D(G(z)): 0.0116 / 0.0033
[46/1000][0/3]	Loss_D: 0.0215	Loss_G: 6.5572	D(x): 0.9913	D(G(z)): 0.0124 / 0.0023
[47/1000][0/3]	Loss_D: 0.0187	Loss_G: 6.2302	D(x): 0.9942	D(G(z)): 0.0126 / 0.0035
[48/1000][0/3]	Loss_D: 0.0189	Loss_G: 6.3206	D(x): 0.9945	D(G(z)): 0.0132 / 0.0032
[49/1000][0/3]	Loss_D: 0.0157	Loss_G: 6.2369	D(x): 0.9940	D(G(z)): 0.0096 / 0.0031
[50/1000][0/3]	Loss_D: 0.0282	Loss_G: 7.4507	D(x): 0.9946	D(G(z)): 0.0220 / 0.0010
[51/1000][0/3]	Loss_D: 0.0179	Loss_G: 6.3590	D(x): 0.9958	D(G(z)): 0.0135 / 0.0030
[52/1000][0/3]	Loss_D: 0.0166	Loss_G: 6.3469	D(x): 0.9949	D(G(z)): 0.0113 / 0.0033
[53/1000][0/3]	Loss_D: 0.0162	Loss_G: 6.3175	D(x): 0.9933	D(G(z)): 0.0093 / 0.0032
[54/1000][0/3]	Loss_D: 0.0165	Loss_G: 6.5576	D(x): 0.9930	D(G(z)): 0.0093 / 0.0030
[55/1000][0/3]	Loss_D: 0.0178	Loss_G: 6.5781	D(x): 0.9945	D(G(z)): 0.0120 / 0.0025
[56/1000][0/3]	Loss_D: 0.0152	Loss_G: 6.2780	D(x): 0.9921	D(G(z)): 0.0071 / 0.0031
[57/1000][0/3]	Loss_D: 0.0190	Loss_G: 6.9442	D(x): 0.9934	D(G(z)): 0.0118 / 0.0020
[58/1000][0/3]	Loss_D: 0.0167	Loss_G: 6.5855	D(x): 0.9937	D(G(z)): 0.0103 / 0.0024
[59/1000][0/3]	Loss_D: 0.0175	Loss_G: 6.5359	D(x): 0.9932	D(G(z)): 0.0105 / 0.0028
[60/1000][0/3]	Loss_D: 0.0146	Loss_G: 6.4259	D(x): 0.9943	D(G(z)): 0.0088 / 0.0025
[61/1000][0/3]	Loss_D: 0.0140	Loss_G: 6.5885	D(x): 0.9942	D(G(z)): 0.0080 / 0.0025
[62/1000][0/3]	Loss_D: 0.0159	Loss_G: 7.0266	D(x): 0.9953	D(G(z)): 0.0108 / 0.0018
[63/1000][0/3]	Loss_D: 0.0151	Loss_G: 6.5645	D(x): 0.9939	D(G(z)): 0.0089 / 0.0027
[64/1000][0/3]	Loss_D: 0.0128	Loss_G: 6.4400	D(x): 0.9937	D(G(z)): 0.0064 / 0.0026
[65/1000][0/3]	Loss_D: 0.0227	Loss_G: 7.3612	D(x): 0.9972	D(G(z)): 0.0195 / 0.0011
[66/1000][0/3]	Loss_D: 0.0269	Loss_G: 8.7446	D(x): 0.9979	D(G(z)): 0.0239 / 0.0004
[67/1000][0/3]	Loss_D: 0.7815	Loss_G: 1.1270	D(x): 0.7250	D(G(z)): 0.0221 / 0.5182
[68/1000][0/3]	Loss_D: 3.1034	Loss_G: 0.4276	D(x): 0.3228	D(G(z)): 0.1093 / 0.8273
